"","cntry","gndr","crmvct","brncntr","Universalism","Security","marital1","ageadlt1","ageoage1","agea1","agemage1","eduyrs1"
"8403","Germany","Male","No","Yes",3.66666666666667,2.5,"Legally married",20,60,31,40,18
"8404","Germany","Male","No","Yes",4.66666666666667,4,"Legally married",18,60,72,30,13
"8405","Germany","Male","No","Yes",2.66666666666667,2.5,"NEVER married",18,50,38,40,11
"8407","Germany","Male","Yes","Yes",4,4,"Legally married",17,55,39,30,13
"8409","Germany","Male","Yes","Yes",4.33333333333333,2,"Legally married",18,50,51,26,20
"8410","Germany","Female","No","Yes",4.66666666666667,4.5,"NEVER married",18,60,18,31,12
"8412","Germany","Male","No","Yes",0.666666666666667,3.5,"Divorced",21,40,62,35,11
"8413","Germany","Male","No","Yes",3.66666666666667,3,"Legally married",22,58,49,35,20
"8414","Germany","Female","No","No",4.33333333333333,2,"Legally married",18,55,71,40,17
"8415","Germany","Female","No","Yes",3,3,"NEVER married",22,50,22,35,13
"8417","Germany","Female","No","Yes",4.66666666666667,2,"Legally married",25,50,49,35,12
"8419","Germany","Female","No","Yes",2.66666666666667,4.5,"Widowed",20,70,81,40,8
"8420","Germany","Male","No","Yes",3.66666666666667,3.5,"Divorced",17,55,58,40,15
"8421","Germany","Male","No","Yes",4,3,"Legally married",18,75,68,45,12
"8422","Germany","Male","Yes","Yes",3.33333333333333,5,"NEVER married",20,50,21,33,12
"8423","Germany","Female","No","Yes",3.33333333333333,3.5,"Legally married",17,65,40,30,12
"8424","Germany","Female","No","Yes",4,2,"Legally married",35,60,25,35,10
"8426","Germany","Male","No","Yes",3.66666666666667,3.5,"Legally married",18,66,40,40,10
"8428","Germany","Female","No","Yes",3.33333333333333,4,"Legally married",35,70,24,50,10
"8429","Germany","Female","No","Yes",3.66666666666667,3,"NEVER married",20,75,15,50,10
"8430","Germany","Male","No","Yes",4.33333333333333,3.5,"Legally married",20,70,42,45,13
"8431","Germany","Male","No","Yes",3.33333333333333,2.5,"Legally married",16,72,44,55,12
"8432","Germany","Female","No","Yes",4.33333333333333,4,"Legally married",22,70,55,45,14
"8433","Germany","Male","No","Yes",3,4,"Widowed",20,70,64,40,17
"8434","Germany","Male","No","No",3.66666666666667,5,"Legally married",15,80,75,30,19
"8435","Germany","Male","Yes","Yes",3.66666666666667,2.5,"NEVER married",16,60,36,35,13
"8436","Germany","Male","No","Yes",4,2,"NEVER married",20,70,26,35,19
"8437","Germany","Male","No","Yes",4.33333333333333,4,"Legally married",20,60,41,40,11
"8438","Germany","Female","No","Yes",4,4,"Legally married",20,70,36,38,19
"8439","Germany","Female","No","No",4,5,"Legally married",20,70,34,35,13
"8441","Germany","Male","No","Yes",4,4,"Legally married",15,60,61,40,14
"8442","Germany","Female","No","Yes",4.33333333333333,2,"NEVER married",22,65,17,38,11
"8443","Germany","Male","No","No",3.33333333333333,3,"Legally married",25,70,66,35,16
"8444","Germany","Male","No","Yes",2.66666666666667,3.5,"Legally married",18,65,77,35,17
"8445","Germany","Female","No","Yes",4,3,"Legally married",16,60,32,40,13
"8446","Germany","Female","No","Yes",4,2.5,"Widowed",25,70,53,40,12
"8447","Germany","Female","No","Yes",4.33333333333333,4.5,"Legally married",20,70,71,50,13
"8448","Germany","Male","No","Yes",1.66666666666667,1.5,"NEVER married",22,72,19,50,14
"8449","Germany","Female","Yes","Yes",3.33333333333333,3,"Widowed",22,70,85,40,12
"8450","Germany","Male","No","Yes",3.33333333333333,3.5,"NEVER married",16,60,21,23,14
"8452","Germany","Female","No","Yes",3.66666666666667,2.5,"Legally married",20,70,68,45,15
"8453","Germany","Male","No","Yes",3.33333333333333,3,"Legally married",23,80,80,45,13
"8454","Germany","Female","No","Yes",3.33333333333333,3,"Legally married",18,75,89,40,10
"8455","Germany","Female","No","Yes",4.33333333333333,3.5,"Legally married",18,70,65,45,12
